Game,Score
0,0
1,0
2,0
3,0
4,0
5,1
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,1
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,1
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,1
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,1
183,0
184,1
185,1
186,0
187,0
188,0
189,2
190,2
191,0
192,2
193,0
194,0
195,1
196,0
197,0
198,1
199,1
200,0
201,0
202,1
203,0
204,0
205,1
206,0
207,2
208,0
209,2
210,1
211,0
212,0
213,0
214,0
215,0
216,2
217,1
218,1
219,0
220,2
221,0
222,0
223,2
224,0
225,3
226,0
227,1
228,0
229,0
230,0
231,0
232,0
233,2
234,3
235,0
236,2
237,1
238,1
239,1
240,1
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,3
250,0
251,0
252,0
253,2
254,1
255,1
256,0
257,0
258,1
259,2
260,0
261,0
262,0
263,0
264,0
265,1
266,0
267,0
268,2
269,1
270,1
271,1
272,0
273,0
274,2
275,1
276,0
277,0
278,0
279,1
280,0
281,1
282,0
283,0
284,0
285,0
286,0
287,0
288,2
289,0
290,2
291,0
292,2
293,0
294,2
295,0
296,1
297,1
298,2
299,5
300,4
301,1
302,0
303,0
304,0
305,2
306,2
307,2
308,1
309,1
310,2
311,2
312,0
313,0
314,0
315,3
316,1
317,0
318,0
319,2
320,2
321,1
322,0
323,1
324,0
325,0
326,4
327,4
328,1
329,2
330,1
331,3
332,0
333,3
334,0
335,1
336,2
337,2
338,6
339,1
340,0
341,1
342,0
343,0
344,0
345,0
346,1
347,0
348,1
349,1
350,1
351,5
352,4
353,3
354,3
355,2
356,0
357,1
358,1
359,4
360,1
361,0
362,1
363,1
364,7
365,3
366,4
367,0
368,2
369,5
370,0
371,1
372,6
373,3
374,1
375,1
376,0
377,0
378,2
379,0
380,4
381,0
382,5
383,3
384,2
385,0
386,0
387,3
388,0
389,0
390,3
391,0
392,1
393,2
394,0
395,3
396,0
397,0
398,0
399,2
400,3
401,2
402,0
403,1
404,6
405,0
406,1
407,0
408,1
409,4
410,0
411,2
412,6
413,1
414,0
415,0
416,1
417,5
418,2
419,2
420,3
421,3
422,4
423,2
424,0
425,4
426,1
427,0
428,4
429,10
430,0
431,1
432,0
433,2
434,0
435,3
436,2
437,1
438,3
439,8
440,5
441,0
442,0
443,0
444,0
445,3
446,0
447,4
448,3
449,1
450,0
451,1
452,0
453,1
454,1
455,3
456,1
457,2
458,1
459,1
460,0
461,1
462,2
463,0
464,0
465,2
466,3
467,1
468,4
469,0
470,2
471,3
472,0
473,1
474,1
475,0
476,2
477,3
478,4
479,0
480,1
481,1
482,1
483,0
484,0
485,0
486,6
487,0
488,0
489,4
490,6
491,1
492,0
493,1
494,2
495,2
496,3
497,2
498,9
499,6
500,2
501,0
502,3
503,2
504,5
505,7
506,8
507,4
508,0
509,6
510,0
511,3
512,2
513,7
514,1
515,3
516,1
517,3
518,3
519,1
520,2
521,3
522,10
523,3
524,5
525,2
526,1
527,0
528,1
529,3
530,5
531,0
