Episode,Score,Epsilon,Loss,Steps,ApplesEaten
0,-50,1,N/A,22,0
1,-50,0.999,39.00031280517578,112,0
2,-50,0.998001,18.778810501098633,45,0
3,-50,0.997002999,45.48877716064453,74,0
4,-50,0.996005996001,2.3597280979156494,59,0
5,-50,0.995009990004999,29.02339744567871,40,0
6,-50,0.994014980014994,42.238136291503906,70,0
7,-50,0.993020965034979,2.753358840942383,152,0
8,-40,0.9920279440699441,21.619060516357422,165,1
9,-50,0.9910359161258742,11.720672607421875,108,0
10,-50,0.9900448802097482,13.047181129455566,44,0
11,-50,0.9890548353295385,44.521751403808594,46,0
12,-50,0.988065780494209,1.2905751466751099,80,0
13,-50,0.9870777147137147,2.380202293395996,36,0
14,-50,0.986090636999001,14.956376075744629,99,0
15,-50,0.9851045463620021,12.790933609008789,69,0
16,-50,0.98411944181564,9.707259178161621,52,0
17,-50,0.9831353223738244,11.786133766174316,149,0
18,-50,0.9821521870514506,6.726778030395508,48,0
19,-30,0.9811700348643991,14.618459701538086,23,2
20,-50,0.9801888648295347,0.7808344960212708,147,0
21,-50,0.9792086759647052,1.0145678520202637,44,0
22,-50,0.9782294672887405,1.2318768501281738,93,0
23,-50,0.9772512378214517,0.6540307402610779,54,0
24,-50,0.9762739865836303,9.956036567687988,50,0
25,-50,0.9752977125970467,2.0171914100646973,50,0
26,-50,0.9743224148844496,0.9466114044189453,43,0
27,-50,0.9733480924695651,1.2881031036376953,52,0
28,-50,0.9723747443770956,1.1923714876174927,22,0
29,-50,0.9714023696327185,0.9028571844100952,83,0
30,-40,0.9704309672630859,0.594832181930542,94,1
31,-50,0.9694605362958227,6.405212879180908,50,0
32,-50,0.9684910757595269,1.2335231304168701,58,0
33,-50,0.9675225846837673,1.1308107376098633,37,0
34,-50,0.9665550620990835,0.748253345489502,73,0
35,-50,0.9655885070369844,2.5369582176208496,101,0
36,-50,0.9646229185299474,0.39756524562835693,36,0
37,-50,0.9636582956114175,0.25986096262931824,211,0
38,-50,0.9626946373158061,0.32789716124534607,37,0
39,-40,0.9617319426784903,0.6162978410720825,152,1
40,-50,0.9607702107358118,0.16300858557224274,84,0
41,-40,0.959809440525076,1.008014440536499,39,1
42,-30,0.9588496310845509,0.23256167769432068,31,2
43,-50,0.9578907814534664,0.15983083844184875,99,0
44,-50,0.9569328906720129,0.16142073273658752,41,0
45,-50,0.9559759577813409,0.725597083568573,153,0
46,-40,0.9550199818235596,0.8123062252998352,28,1
47,-50,0.9540649618417361,0.5473337173461914,42,0
48,-50,0.9531108968798944,0.11504897475242615,59,0
49,-40,0.9521577859830145,0.23661404848098755,195,1
50,-50,0.9512056281970315,1.0873136520385742,75,0
51,-50,0.9502544225688344,2.4770865440368652,70,0
52,-50,0.9493041681462656,0.12280723452568054,31,0
53,-50,0.9483548639781193,0.19357046484947205,41,0
54,-50,0.9474065091141411,0.1085820198059082,36,0
55,-50,0.946459102605027,1.2071834802627563,55,0
56,-50,0.9455126435024219,0.17053140699863434,18,0
57,-50,0.9445671308589195,0.9415242075920105,100,0
58,-50,0.9436225637280606,0.6578735709190369,21,0
59,-50,0.9426789411643326,0.33171892166137695,21,0
60,-50,0.9417362622231683,0.6888466477394104,45,0
61,-50,0.9407945259609451,0.07033663988113403,57,0
62,-50,0.9398537314349842,0.09245606511831284,43,0
63,-50,0.9389138777035492,0.1369132250547409,32,0
64,-50,0.9379749638258457,0.10224126279354095,43,0
65,-50,0.9370369888620198,0.5900622010231018,66,0
66,-50,0.9360999518731578,0.16217204928398132,77,0
67,-40,0.9351638519212846,0.08018620312213898,147,1
68,-50,0.9342286880693633,0.08200908452272415,178,0
69,-50,0.933294459381294,0.16574466228485107,35,0
70,-50,0.9323611649219127,0.10877525806427002,76,0
71,-50,0.9314288037569908,0.09979523718357086,27,0
72,-50,0.9304973749532338,0.10155797004699707,54,0
73,-50,0.9295668775782806,0.08578342199325562,33,0
74,-50,0.9286373107007023,0.1201978474855423,44,0
75,-40,0.9277086733900016,0.3322324752807617,124,1
76,-50,0.9267809647166116,0.1373308151960373,48,0
77,-40,0.925854183751895,0.13572126626968384,261,1
78,-40,0.9249283295681431,0.0794597789645195,94,1
79,-50,0.9240034012385749,0.14071813225746155,24,0
80,-50,0.9230793978373364,0.09665428102016449,19,0
81,-50,0.9221563184394991,0.07700991630554199,131,0
82,-50,0.9212341621210596,0.1371576339006424,18,0
83,-50,0.9203129279589385,0.0977378636598587,62,0
84,-50,0.9193926150309796,0.0758759081363678,105,0
85,-50,0.9184732224159486,0.10391289740800858,123,0
86,-50,0.9175547491935327,0.09484156221151352,100,0
87,-50,0.9166371944443392,0.08237076550722122,27,0
88,-50,0.9157205572498949,0.06912735104560852,63,0
89,-50,0.914804836692645,0.11398352682590485,110,0
90,-50,0.9138900318559524,0.11611346155405045,51,0
91,-30,0.9129761418240965,0.1123390644788742,117,2
92,-50,0.9120631656822724,0.3066772520542145,92,0
93,-50,0.9111511025165902,0.07622051239013672,42,0
94,-50,0.9102399514140735,0.07599634677171707,23,0
95,-40,0.9093297114626595,0.38535475730895996,44,1
96,-50,0.9084203817511969,0.15713968873023987,56,0
97,-50,0.9075119613694457,0.2927858531475067,156,0
98,-50,0.9066044494080763,0.06919198483228683,57,0
99,-50,0.9056978449586682,0.43647462129592896,170,0
100,-50,0.9047921471137096,0.07927922904491425,58,0
101,-50,0.9038873549665959,0.19089142978191376,41,0
102,-50,0.9029834676116293,0.3575541377067566,64,0
103,-50,0.9020804841440176,0.20220142602920532,26,0
104,-50,0.9011784036598737,0.10667315125465393,264,0
105,-50,0.9002772252562138,0.13995684683322906,45,0
106,-50,0.8993769480309576,0.22269663214683533,52,0
107,-50,0.8984775710829266,0.18370482325553894,45,0
108,-40,0.8975790935118436,0.04628857225179672,115,1
109,-50,0.8966815144183318,0.052878718823194504,50,0
110,-30,0.8957848329039134,0.0760483667254448,78,2
111,-50,0.8948890480710096,0.1405978798866272,44,0
112,-40,0.8939941590229386,0.20864251255989075,149,1
113,-50,0.8931001648639156,0.11774896085262299,34,0
