Episode,Score,ApplesEaten,Loss,Entropy
0,-50,0,0,0
1,-50,0,0,0
2,-50,0,0,0
3,-50,0,0,0
4,-50,0,0,0
5,-50,0,0,0
6,-50,0,0,0
7,-50,0,0,0
8,-50,0,0,0
9,-40,1,0,0
10,-50,0,0,0
11,-50,0,0,0
12,-50,0,0,0
13,-50,0,0,0
14,-40,1,0,0
15,-50,0,0,0
16,-30,2,0,0
17,-40,1,0,0
18,-50,0,0,0
19,-40,1,0,0
20,-50,0,0,0
21,-50,0,0,0
22,-50,0,0,0
23,-40,1,0,0
24,-50,0,0,0
25,-40,1,0,0
26,-50,0,0,0
27,-50,0,0,0
28,-50,0,0,0
29,-50,0,0,0
30,-40,1,0,0
31,-20,3,0,0
32,-50,0,0,0
33,-40,1,0,0
34,-40,1,0,0
35,-50,0,0,0
36,-40,1,0,0
37,-50,0,0,0
38,-50,0,0,0
39,-50,0,0,0
40,-50,0,0,0
41,-50,0,0,0
42,-50,0,0,0
43,-40,1,0,0
44,-50,0,0,0
45,-50,0,0,0
46,-40,1,0,0
47,-50,0,0,0
48,-50,0,0,0
49,-40,1,0,0
50,-50,0,0,0
51,-50,0,0,0
52,-40,1,0,0
53,-50,0,0,0
54,-50,0,0,0
55,-50,0,0,0
56,-50,0,0,0
57,-40,1,0,0
58,-40,1,0,0
59,-50,0,0,0
60,-50,0,0,0
61,-50,0,0,0
62,-40,1,0,0
63,-40,1,0,0
64,-50,0,0,0
65,-40,1,0,0
66,-40,1,0,0
67,-50,0,0,0
68,-50,0,0,0
69,-30,2,0,0
70,-50,0,0,0
71,-50,0,0,0
72,-50,0,0,0
73,-50,0,0,0
74,-40,1,0,0
75,-50,0,0,0
76,-50,0,0,0
77,-40,1,0,0
78,-50,0,0,0
79,-30,2,0,0
80,-50,0,0,0
81,-30,2,0,0
82,-40,1,0,0
83,-50,0,0,0
84,-50,0,0,0
85,-40,1,0,0
86,-50,0,0,0
87,-20,3,0,0
88,-50,0,0,0
89,-50,0,0,0
90,-50,0,0,0
91,-50,0,0,0
92,-50,0,0,0
93,-40,1,0,0
94,-40,1,0,0
95,-50,0,0,0
96,-50,0,0,0
97,-40,1,0,0
98,-50,0,0,0
99,-50,0,0,0
100,-40,1,0,0
101,-50,0,0,0
102,-40,1,0,0
103,-50,0,0,0
104,-40,1,0,0
105,-50,0,0,0
106,-40,1,0,0
107,-50,0,0,0
108,-40,1,0,0
109,-50,0,0,0
110,-50,0,0,0
111,-40,1,0,0
112,-40,1,0,0
113,-50,0,0,0
114,-40,1,0,0
115,-40,1,0,0
116,-50,0,0,0
117,-50,0,0,0
118,-50,0,0,0
119,-40,1,0,0
120,-30,2,0,0
121,-50,0,0,0
122,-50,0,0,0
123,-40,1,0,0
124,-50,0,0,0
125,-50,0,0,0
126,-50,0,0,0
127,-50,0,0,0
128,-50,0,0,0
129,-40,1,0,0
130,-50,0,0,0
131,-40,1,0,0
132,-40,1,0,0
133,-40,1,0,0
134,-50,0,0,0
135,-30,2,0,0
136,-40,1,0,0
137,-30,2,0,0
138,-20,3,0,0
139,-30,2,0,0
140,-50,0,0,0
141,-20,3,0,0
142,-50,0,0,0
143,-40,1,0,0
144,-40,1,0,0
145,-40,1,0,0
146,-20,3,0,0
147,-40,1,0,0
148,-20,3,0,0
149,-20,3,0,0
150,-30,2,0,0
151,-50,0,0,0
152,-30,2,0,0
153,-50,0,0,0
154,-20,3,0,0
155,-40,1,0,0
156,-40,1,0,0
157,-50,0,0,0
158,-20,3,0,0
159,-20,3,0,0
160,-50,0,0,0
161,-50,0,0,0
162,-50,0,0,0
163,-50,0,0,0
164,-50,0,0,0
165,-50,0,0,0
166,-50,0,0,0
167,-50,0,0,0
168,-40,1,0,0
169,-50,0,0,0
170,-50,0,0,0
171,-50,0,0,0
172,-40,1,0,0
173,-50,0,0,0
174,-50,0,0,0
175,-50,0,0,0
176,-50,0,0,0
177,-50,0,0,0
