Game,Score
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,1
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,1
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,2
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,2
129,1
130,1
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,1
139,0
140,0
141,0
142,1
143,0
144,0
145,0
146,0
147,0
148,4
149,0
150,1
151,2
152,2
153,0
154,0
155,0
156,1
157,1
158,0
159,0
160,2
161,0
162,1
163,3
164,4
165,2
166,1
167,0
168,0
169,3
170,4
171,5
172,3
173,0
174,1
175,0
176,0
177,3
178,1
179,0
180,3
181,1
182,3
183,1
184,1
185,1
186,2
187,2
188,0
189,0
190,0
191,0
192,2
193,1
194,1
195,1
196,5
197,0
198,1
199,0
200,2
201,1
202,0
203,2
204,2
205,4
206,6
207,1
208,1
209,2
210,0
211,1
212,3
213,1
214,0
215,10
216,0
217,0
218,0
219,0
220,1
221,10
222,9
223,0
224,9
225,9
226,0
227,17
228,8
229,9
230,10
231,1
232,2
233,18
234,2
235,4
236,4
237,1
238,11
239,1
240,11
241,13
242,0
243,7
244,1
245,0
246,4
247,1
248,0
249,4
250,0
251,0
252,0
253,1
254,1
255,0
256,2
257,10
258,5
259,2
260,9
261,7
262,1
263,6
264,1
265,6
266,4
267,3
268,12
269,10
270,2
271,5
272,1
273,1
274,0
275,0
276,7
277,5
278,12
279,1
280,8
281,9
282,19
283,5
284,10
285,3
286,1
287,3
288,2
289,11
290,17
291,9
292,0
293,10
294,5
295,9
296,9
297,7
298,3
299,7
300,11
301,28
302,7
303,11
304,1
305,5
306,0
307,4
308,4
309,4
310,6
311,0
312,4
313,1
314,0
315,0
316,1
317,2
318,2
319,1
320,6
321,3
322,1
323,4
324,1
325,4
326,2
327,0
328,1
329,1
330,0
331,0
332,0
333,3
334,0
335,1
336,1
337,8
338,9
339,6
340,10
341,6
342,3
343,7
344,2
345,2
346,9
347,16
348,2
349,20
350,5
351,0
352,1
353,1
354,7
355,1
356,5
357,1
358,8
359,1
360,0
361,1
362,1
363,4
364,3
365,8
366,2
367,4
368,0
369,0
370,4
371,0
372,0
373,4
374,12
375,1
376,3
377,8
378,5
379,6
380,4
381,7
382,2
383,0
384,2
385,2
386,1
387,2
388,5
389,2
390,1
391,1
392,1
393,0
394,1
395,1
396,3
397,1
398,0
399,2
400,0
401,0
402,1
403,0
404,0
405,0
406,0
407,21
408,2
409,17
410,17
411,16
412,26
413,8
414,32
415,23
416,7
417,21
418,14
419,19
420,6
421,23
422,4
423,17
424,10
425,1
426,36
427,8
428,3
429,11
430,20
431,25
432,27
433,5
434,47
435,8
436,11
437,4
438,1
439,2
440,5
441,10
442,12
443,5
444,7
445,1
446,3
447,2
448,10
449,18
450,1
451,5
452,1
453,8
454,8
455,19
456,4
457,1
458,5
459,3
460,2
461,5
462,8
463,1
464,3
465,9
466,4
467,10
468,5
469,0
470,9
471,5
472,2
473,2
474,4
475,1
476,0
477,1
478,1
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,2
501,9
502,2
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,2
513,0
514,3
515,0
516,1
517,0
518,1
519,0
520,3
521,6
522,6
523,12
524,34
525,12
526,4
527,36
528,13
529,17
530,16
531,26
